Food Name and Description,Protein,Total Fat,Carbohydrates
Lettuce lvs & petioles,1.3,0.4,3.4
Lettuce tree young lvs,3.6,1,5
Lettuce tree young lvs boiled,0.7,1.2,3.1
Lima bean pod,8.3,0.7,21.7
Lima bean pod boiled,7,0.3,17.2
Limang sugat young lvs,3.4,0.2,10.1
Malabar nightshade lvs,2.4,0.4,5
Malabar nightshade lvs boiled,0.6,0.2,4.3
Malibaddu,1.2,0.2,10.8
Mango young lvs,3,0.7,17.8
Mango young lvs boiled,1.6,0.4,9.9
Marrow-stem kale lvs and stems,3.1,0.5,4.3
Mexican lilac flower,2.8,0.7,10.1
Mexican lilac flowers boiled,1.4,0.2,5.8
Morning glory lvs,4,0.4,9.3
Mung bean seed fresh,7.7,0.2,21.6
Mung bean sprout,5.7,0.1,10
Mung bean sprout boiled,4.8,0.7,7
Mushroom fresh,3.8,0.6,6.9
Mustard lvs,2.3,0.4,2.7
Mustard lvs boiled,1.3,0.6,2.7
New Zealand spinach lvs,3.3,0.5,3.7
New Zealand spinach lvs boiled,1.4,0.3,4.9
Okra,1.8,0.3,5.9
Okra boiled,1,0.2,6.1
Onion Bombay bulb,1.7,0.3,10.5
Onion Bombay bulb boiled,1.2,0.4,9.7
Onion garden shallot bulb,1.7,0.5,14.1
Onion garden shallot bulb boiled,1.1,0.5,13.3
Onion garden shallot lvs,1.7,1,5.4
Onion garden shallot lvs boiled,1.3,0.6,4.1
Onion spring,1.8,0.5,7.2
Onion spring boiled,1.3,0.4,6.9
Pako fern lvs,3.2,0.4,3.7
Pako fern lvs boiled,1.9,0.4,5.5
Palm-like fig young lvs,3.9,0.7,6.9
Palm-like fig young lvs boiled,1.2,0.2,3.2
Pansit-pansitan,0.9,0.2,2.5
Papaya fruit unripe,1,0.1,5.5
Papaya young lvs,6.1,1.6,16.7
Papaya young lvs boiled,4.6,1.2,9.5
Papaya petioles,0.6,0.2,5.8
Papaya petioles boiled,0.7,0.2,4.9
Parsley lvs,4,0.9,8.4
Pechay lvs,2.1,0.4,2.6
Pechay lvs boiled,1.7,0.5,2.4
Pechay petioles,0.6,0.3,2.1
Pechay petioles boiled,0.4,0.2,1.9
Pepper chili fruit,4.8,2.2,9
Pepper chili lvs,5.8,1.2,6.4
Pepper chili lvs boiled,1.8,0.3,10.5
Pepper sweet/bell long green,1.8,0.5,8.1
Pepper sweet/bell long green boiled,0.9,0.3,6.4
Pepper sweet/bell long red,2.4,0.9,14.4
Pepper sweet/bell round green,0.9,0.2,5.6
Pepper sweet/bell round green boiled,0.5,0.2,3.2
Pepper sweet/bell round red,0.5,0.3,7.8
Philippine spinach lvs,2.7,0.5,3.5
Philippine spinach lvs boiled,0.8,0.2,4.6
Pigeon pea pod,8.2,0.7,27.4
Pigeon pea pod boiled,5.6,0.3,14.7
Pigeon pea seed fresh,8.2,0.7,26
Malabar bauhinia lvs,2.5,1.6,8.9
Prickly chaff-flower lvs,6.4,1,6.2
Purslane lvs,2.3,0.4,4.5
Purslane lvs boiled,1.3,0.3,4.6
Racaba lvs,3.3,1,8.9
Radish,0.6,0.1,4.1
Radish boiled,0.2,0.1,3.2
Radish pod,1.7,0.1,6.2
Rhubarb young petioles,0.6,0.5,5.1
Roselle lvs,2.8,0.6,11.6
Sabitan lvs,6.2,0.7,9.6
Seaweed gut weed dried,1.4,0.4,24.8
Sea purslane lvs,1.8,0.4,3.6
Sea purslane lvs boiled,1,0.2,7.5
Seaweed balbalulang,0.4,0.3,4.6
Seaweed gamet dried,23.7,1.2,36.7
Seaweed kawkawayan,2.2,1.5,11.2
Seaweed kulot,0.6,0.4,4.6
Seaweed lato,0.1,0.1,2.1
Seaweed pokpoklo,1.2,0.2,1.8
Sesbania flower,1,0.3,6.1
Sesbania flower boiled,1,0.3,5.4
Sesbania lvs,6.6,1.4,9.2
Sesbania lvs boiled,6,0.8,4.9
Slender/Spineless amaranth lvs,4.5,1.1,7.8
Slender/Spineless amaranth lvs boiled,3.3,0.4,4.4
Snake gourd fruit,0.6,0,4
Snap bean pod green,2,0.1,6.8
Snap bean pod green boiled,0.8,0.1,5.6
Snap bean pod white,1.9,0.2,5.3
Snap bean pod white boiled,1,0.1,2.3
Snap bean seed black & brown fresh,11.3,0.6,33.5
Snow/Sugar pea pod,3,0.4,12.8
Snow/Sugar pea pod boiled,1.5,0.4,7.6
Soybean seed fresh,13.1,6.1,10.9
Soybean seed fresh boiled,12.4,6.4,9.3
Spanish plum young lvs,4.5,1.2,9.3
Spanish plum young lvs boiled,1.9,0.6,6.4
Spiny pigweed/Thorny amaranth lvs,5.5,0.9,8.2
Spiny pigweed/Thorny amaranth lvs boiled,1.6,0.3,6.9
Sponge gourd fruit,0.7,0.1,4.3
Sponge gourd fruit boiled,0.4,0.4,2.7
Sponge gourd lvs,4,0.6,3.9
Sponge gourd lvs boiled,1.4,0.1,1.8
Squash flower,1.9,0.5,5.2
Squash flower boiled,0.4,0.1,4.1
Squash fruit,1.2,0.2,15.3
Squash fruit boiled,0.4,0.2,10.8
Squash lvs,3.4,0.6,4.8
Squash lvs boiled,1.6,0.4,4.2
Squash summer fruit,0.6,0.2,4.3
String/Yard long bean lvs,4.2,0.4,6
String/Yard long bean lvs boiled,2.1,0.2,4.3
String/Yard long bean pod green,2.7,0.3,6.2
String/Yard long bean pod green boiled,4,0.5,7.9
String/Yard long bean pod red,2.8,0.2,7.8
String/Yard long bean pod red boiled,1.5,0.2,6.7
String/Yard long bean pod white,2.2,0.3,8.8
String/Yard long bean pod white boiled,1.4,0.1,4.1
String/Yard long bean seed green fresh,9.2,0.8,18.8
String/Yard long bean seed green fresh boiled,12.7,0.4,16.1
Sugar palm heart of palm,1.3,0.5,7
Swamp amaranth lvs,5.1,0.2,7.5
Swamp cabbage lvs,3.3,0.4,5.5
Swamp cabbage lvs boiled,1.5,0.4,4.7
Sweet potato lvs,3.9,0.5,7.2
Sweet potato lvs boiled,1.1,0.7,4.6
Sweet potato lvs purple,4.7,0.6,11.3
Sweet potato lvs purple boiled,1.8,0.3,3.5
Tamarind flower,2.5,1.8,15
Tamarind lvs,3.9,1,13.9
Tamarind lvs boiled,2.4,0.5,9.9
Ivy gourd lvs,4.9,1.5,3.9
Ivy gourd lvs boiled,3.5,0.8,7
Taro lvs,4.3,1.8,10
Taro lvs boiled,1.4,0.4,9.7
Taro petioles,0.3,0.2,4.6
Taro petioles boiled,0.2,0.1,3.2
Tomato,0.8,0.1,5.2
Tomato boiled,0.4,0.1,5.6
Tomato Spanish ripe,2.3,0.4,12.9
Yam bean,1.1,0.2,9.8
Yam bean pod,2.6,0.3,9.6
Water caltrop boiled,9.4,0.1,46.8
Water chestnut,2.3,0.7,40.3
Water chestnut boiled,2.7,0.1,58.6
Watercress,1,0.3,4.8
Wax gourd fruit,0.4,0.3,3.8
